prov,year,cases
กระบี่,2018,1799
กระบี่,2019,2
กรุงเทพมหานคร,2018,2137
กรุงเทพมหานคร,2019,8
กาฬสินธุ์,2018,186
ขอนแก่น,2018,8459
ขอนแก่น,2019,10
จันทบุรี,2018,166
จันทบุรี,2019,5
ฉะเชิงเทรา,2018,829
ฉะเชิงเทรา,2019,8
ชลบุรี,2018,3819
ชลบุรี,2019,3
ชัยนาท,2018,584
ชัยนาท,2019,1
ชัยภูมิ,2018,262
ชุมพร,2018,1609
ชุมพร,2019,2
ตรัง,2018,1639
ตรัง,2019,3
ตาก,2018,127
นครนายก,2018,1245
นครปฐม,2018,2880
นครปฐม,2019,9
นครราชสีมา,2018,1462
นครราชสีมา,2019,2
นครศรีธรรมราช,2018,2562
นครศรีธรรมราช,2019,6
นครสวรรค์,2018,2418
นครสวรรค์,2019,11
นนทบุรี,2018,399
นนทบุรี,2019,1
นราธิวาส,2018,500
น่าน,2018,993
น่าน,2019,4
บุรีรัมย์,2018,761
ปทุมธานี,2018,1
ประจวบคีรีขันธ์,2018,1215
ประจวบคีรีขันธ์,2019,4
ปราจีนบุรี,2018,309
ปราจีนบุรี,2019,3
ปัตตานี,2018,90
พระนครศรีอยุธยา,2018,63
พะเยา,2018,1763
พะเยา,2019,8
พังงา,2018,22
พังงา,2019,1
พิจิตร,2018,62
พิษณุโลก,2018,1858
พิษณุโลก,2019,9
ภูเก็ต,2018,235
ภูเก็ต,2019,1
มหาสารคาม,2018,2190
มหาสารคาม,2019,2
มุกดาหาร,2018,1033
ระนอง,2018,1233
ระนอง,2019,3
ระยอง,2018,292
ราชบุรี,2018,2099
ราชบุรี,2019,1
ร้อยเอ็ด,2018,3999
ร้อยเอ็ด,2019,5
ลพบุรี,2018,343
ลำปาง,2018,3662
ลำปาง,2019,12
ลำพูน,2018,1891
ลำพูน,2019,1
ศรีสะเกษ,2018,127
สกลนคร,2018,2482
สกลนคร,2019,5
สงขลา,2018,4876
สงขลา,2019,6
สตูล,2018,812
สตูล,2019,1
สมุทรปราการ,2018,655
สมุทรปราการ,2019,7
สมุทรสงคราม,2018,1047
สมุทรสาคร,2018,2920
สมุทรสาคร,2019,1
สระบุรี,2018,1506
สระบุรี,2019,2
สระแก้ว,2018,581
สระแก้ว,2019,1
สิงห์บุรี,2018,447
สิงห์บุรี,2019,2
สุพรรณบุรี,2018,2041
สุพรรณบุรี,2019,8
สุราษฎร์ธานี,2018,2912
สุราษฎร์ธานี,2019,13
สุราษฎร์ธานี,2021,1
สุรินทร์,2018,2957
สุรินทร์,2019,12
สุรินทร์,2022,1
สุโขทัย,2018,295
หนองคาย,2018,798
อำนาจเจริญ,2018,1090
อำนาจเจริญ,2019,2
อุดรธานี,2018,3924
อุดรธานี,2019,6
อุตรดิตถ์,2018,2116
อุตรดิตถ์,2019,8
อุบลราชธานี,2018,394
อุบลราชธานี,2019,15
อ่างทอง,2018,505
เชียงราย,2017,1
เชียงราย,2018,5822
เชียงราย,2019,17
เชียงใหม่,2018,4717
เชียงใหม่,2019,8
เพชรบุรี,2018,2135
เพชรบุรี,2019,1
เพชรบูรณ์,2018,1918
เพชรบูรณ์,2019,13
เลย,2018,2368
เลย,2019,6
แพร่,2018,1332
แพร่,2019,3
แม่ฮ่องสอน,2018,1982
แม่ฮ่องสอน,2019,4
