prov,year,rows_parsed,rows_raw,share_parsed_vs_prov_total
กระบี่,2018,1799,4377,0.411
กระบี่,2019,2,4377,0.0005
กรุงเทพมหานคร,2018,2137,5334,0.4006
กรุงเทพมหานคร,2019,8,5334,0.0015
กาฬสินธุ์,2018,186,587,0.3169
ขอนแก่น,2018,8459,20732,0.408
ขอนแก่น,2019,10,20732,0.0005
จันทบุรี,2018,166,294,0.5646
จันทบุรี,2019,5,294,0.017
ฉะเชิงเทรา,2018,829,1901,0.4361
ฉะเชิงเทรา,2019,8,1901,0.0042
ชลบุรี,2018,3819,9137,0.418
ชลบุรี,2019,3,9137,0.0003
ชัยนาท,2018,584,1450,0.4028
ชัยนาท,2019,1,1450,0.0007
ชัยภูมิ,2018,262,502,0.5219
ชุมพร,2018,1609,3937,0.4087
ชุมพร,2019,2,3937,0.0005
ตรัง,2018,1639,3993,0.4105
ตรัง,2019,3,3993,0.0008
ตาก,2018,127,315,0.4032
นครนายก,2018,1245,2927,0.4254
นครปฐม,2018,2880,7021,0.4102
นครปฐม,2019,9,7021,0.0013
นครราชสีมา,2018,1462,3550,0.4118
นครราชสีมา,2019,2,3550,0.0006
นครศรีธรรมราช,2018,2562,6393,0.4008
นครศรีธรรมราช,2019,6,6393,0.0009
นครสวรรค์,2018,2418,5845,0.4137
นครสวรรค์,2019,11,5845,0.0019
นนทบุรี,2018,399,1044,0.3822
นนทบุรี,2019,1,1044,0.001
นราธิวาส,2018,500,1027,0.4869
น่าน,2018,993,2443,0.4065
น่าน,2019,4,2443,0.0016
บุรีรัมย์,2018,761,1732,0.4394
ปทุมธานี,2018,1,1,1.0
ประจวบคีรีขันธ์,2018,1215,2825,0.4301
ประจวบคีรีขันธ์,2019,4,2825,0.0014
ปราจีนบุรี,2018,309,855,0.3614
ปราจีนบุรี,2019,3,855,0.0035
ปัตตานี,2018,90,210,0.4286
พระนครศรีอยุธยา,2018,63,106,0.5943
พะเยา,2018,1763,4556,0.387
พะเยา,2019,8,4556,0.0018
พังงา,2018,22,23,0.9565
พังงา,2019,1,23,0.0435
พิจิตร,2018,62,100,0.62
พิษณุโลก,2018,1858,4634,0.4009
พิษณุโลก,2019,9,4634,0.0019
ภูเก็ต,2018,235,270,0.8704
ภูเก็ต,2019,1,270,0.0037
มหาสารคาม,2018,2190,5328,0.411
มหาสารคาม,2019,2,5328,0.0004
มุกดาหาร,2018,1033,2461,0.4197
ระนอง,2018,1233,3113,0.3961
ระนอง,2019,3,3113,0.001
ระยอง,2018,292,660,0.4424
ราชบุรี,2018,2099,5410,0.388
ราชบุรี,2019,1,5410,0.0002
ร้อยเอ็ด,2018,3999,9850,0.406
ร้อยเอ็ด,2019,5,9850,0.0005
ลพบุรี,2018,343,826,0.4153
ลำปาง,2018,3662,9099,0.4025
ลำปาง,2019,12,9099,0.0013
ลำพูน,2018,1891,4418,0.428
ลำพูน,2019,1,4418,0.0002
ศรีสะเกษ,2018,127,135,0.9407
สกลนคร,2018,2482,6283,0.395
สกลนคร,2019,5,6283,0.0008
สงขลา,2018,4876,10334,0.4718
สงขลา,2019,6,10334,0.0006
สตูล,2018,812,1900,0.4274
สตูล,2019,1,1900,0.0005
สมุทรปราการ,2018,655,1643,0.3987
สมุทรปราการ,2019,7,1643,0.0043
สมุทรสงคราม,2018,1047,2481,0.422
สมุทรสาคร,2018,2920,7600,0.3842
สมุทรสาคร,2019,1,7600,0.0001
สระบุรี,2018,1506,3530,0.4266
สระบุรี,2019,2,3530,0.0006
สระแก้ว,2018,581,1295,0.4486
สระแก้ว,2019,1,1295,0.0008
สิงห์บุรี,2018,447,1245,0.359
สิงห์บุรี,2019,2,1245,0.0016
สุพรรณบุรี,2018,2041,5000,0.4082
สุพรรณบุรี,2019,8,5000,0.0016
สุราษฎร์ธานี,2018,2912,7241,0.4022
สุราษฎร์ธานี,2019,13,7241,0.0018
สุราษฎร์ธานี,2021,1,7241,0.0001
สุรินทร์,2018,2957,7181,0.4118
สุรินทร์,2019,12,7181,0.0017
สุรินทร์,2022,1,7181,0.0001
สุโขทัย,2018,295,695,0.4245
หนองคาย,2018,798,1887,0.4229
อำนาจเจริญ,2018,1090,2522,0.4322
อำนาจเจริญ,2019,2,2522,0.0008
อุดรธานี,2018,3924,9476,0.4141
อุดรธานี,2019,6,9476,0.0006
อุตรดิตถ์,2018,2116,5097,0.4151
อุตรดิตถ์,2019,8,5097,0.0016
อุบลราชธานี,2018,394,926,0.4255
อุบลราชธานี,2019,15,926,0.0162
อ่างทอง,2018,505,1263,0.3998
เชียงราย,2017,1,14552,0.0001
เชียงราย,2018,5822,14552,0.4001
เชียงราย,2019,17,14552,0.0012
เชียงใหม่,2018,4717,11265,0.4187
เชียงใหม่,2019,8,11265,0.0007
เพชรบุรี,2018,2135,5155,0.4142
เพชรบุรี,2019,1,5155,0.0002
เพชรบูรณ์,2018,1918,4832,0.3969
เพชรบูรณ์,2019,13,4832,0.0027
เลย,2018,2368,5805,0.4079
เลย,2019,6,5805,0.001
แพร่,2018,1332,3284,0.4056
แพร่,2019,3,3284,0.0009
แม่ฮ่องสอน,2018,1982,4870,0.407
แม่ฮ่องสอน,2019,4,4870,0.0008
